"crop","country","region","climate_scenario","future_mid_point","projected_yield_t_ha","global_delta_t_from_pre_industrial_period","drought_index","annual_precipitation_change_each_study_mm"
"Maize","China","Asia","SRES(mean of 6 scenarios)",2070,4.64,2.33,0.0896345230299958,50.6329
"Maize","China","Asia","SRES(mean of 6 scenarios)",2070,4.88,2.33,0.0785493886994766,56.962
"Maize","China","Asia","SRES(mean of 6 scenarios)",2070,5.33,2.33,0.0713940042648585,50.6329000000001
"Maize","China","Asia","SRES(mean of 6 scenarios)",2070,5.71,2.33,0.0721508474285075,63.2912
"Maize","China","Asia","SRES(mean of 6 scenarios)",2070,5.73,2.33,0.0768987410046052,69.6202
"Maize","China","Asia","SRES(mean of 6 scenarios)",2070,5.15,2.33,0.118248312921147,63.2912
"Maize","Cameroon","Africa","A2",2020,1.090842,1.33573892726184,-0.0144928246683278,-34.481
"Maize","Cameroon","Africa","A2",2020,1.59588,1.33094439392851,-0.0144986741789439,-21.7355
"Maize","Cameroon","Africa","A2",2020,2.063645,1.34462625212837,-0.0141996601355145,-15.805
"Maize","Cameroon","Africa","A2",2020,2.2414525,1.3463073818073,-0.0139821177372196,-38.193
"Maize","Cameroon","Africa","A2",2020,2.372903,1.33935271879504,-0.0126865799221438,-12.093
"Maize","Cameroon","Africa","A2",2020,2.917203,1.33681914909807,-0.0154479646899088,-21.953
"Maize","Cameroon","Africa","A2",2020,2.8250615,1.33719632298377,-0.0176020028100929,-46.371
"Maize","Cameroon","Africa","A2",2020,2.616575,1.3363553818073,-0.0139956905835444,-23.9975
"Maize","Cameroon","Africa","A2",2080,0.480074,3.39903744418399,0.0279861441871157,66.584
"Maize","Cameroon","Africa","A2",2080,1.07508,3.40136697145672,0.0279974397938227,41.972
"Maize","Cameroon","Africa","A2",2080,1.670755,3.39491596207736,0.0274200333651314,30.52
"Maize","Cameroon","Africa","A2",2080,2.0359325,3.39819081561257,0.0269999514925619,73.752
"Maize","Cameroon","Africa","A2",2080,1.969097,3.39965786034575,0.0244982232979328,23.352
"Maize","Cameroon","Africa","A2",2080,2.5498,3.39655370709886,0.0298305525046515,42.392
"Maize","Cameroon","Africa","A2",2080,2.481258,3.40133179223594,0.0339900743919035,89.544
"Maize","Cameroon","Africa","A2",2080,2.166632,3.40018681561257,0.0270261611268443,46.34
"Maize","Cameroon","Africa","B2",2020,1.107664,1.46520482472776,0.00949529892062855,22.591
"Maize","Cameroon","Africa","B2",2020,1.595136,1.46423086772496,0.00949913135861842,14.2405
"Maize","Cameroon","Africa","B2",2020,2.0937925,1.46726613146093,0.00930322560602674,10.355
"Maize","Cameroon","Africa","B2",2020,2.2506275,1.47250871361665,0.00916069782783351,25.023
"Maize","Cameroon","Africa","B2",2020,2.3609625,1.4656148001478,0.00831189719037004,7.923
"Maize","Cameroon","Africa","B2",2020,2.919521,1.46516562289452,0.0101210803140782,14.383
"Maize","Cameroon","Africa","B2",2020,2.8250615,1.46675524209471,0.0115323466686815,30.381
"Maize","Cameroon","Africa","B2",2020,2.633839,1.46678440105829,0.00916959038232217,15.7225
"Maize","Cameroon","Africa","B2",2080,0.829454,2.53663414409912,0.0184908452664872,43.993
"Maize","Cameroon","Africa","B2",2080,1.29456,2.54032117137185,0.0184983084352043,27.7315
"Maize","Cameroon","Africa","B2",2080,1.775785,2.54080982166139,0.0181168077591047,20.165
"Maize","Cameroon","Africa","B2",2080,2.09557,2.53858234409912,0.0178392536647284,48.729
"Maize","Cameroon","Africa","B2",2080,2.06776895,2.53560708127648,0.0161863261075627,15.429
"Maize","Cameroon","Africa","B2",2080,2.773487,2.53420207113875,0.0197094721905733,28.009
"Maize","Cameroon","Africa","B2",2080,2.5828085,2.53572977051421,0.022457727723222,59.163
"Maize","Cameroon","Africa","B2",2080,2.374879,2.20727770554385,0.0178565707445221,30.6175
"Maize","South Africa","Africa","Others",2085,4.127,2.53464228732719,0,0
"Maize","South Africa","Africa","Others",2085,3.9066,2.6906233836133,0,0
"Maize","South Africa","Africa","Others",2085,4.092,2.6906233836133,0.216321239346021,62.9
"Maize","South Africa","Africa","Others",2085,3.6506,2.6906233836133,-0.216321239346021,-62.9
"Maize","South Africa","Africa","Others",2085,3.43266,2.85941885494367,0,0
"Maize","South Africa","Africa","Others",2085,3.182667,2.6906233836133,0,0
"Maize","South Africa","Africa","Others",2030,10.55,1.88879555745135,0.304940725760461,88.668
"Maize","South Africa","Africa","Others",2030,12.45,1.72472536379819,0.304940725760461,88.668
"Maize","South Africa","Africa","Others",2030,10.55,1.88879555745135,0.609881451520922,177.336
"Maize","South Africa","Africa","Others",2030,10.09,1.88879555745135,0.304940725760461,88.668
"Maize","South Africa","Africa","Others",2030,12.46,1.72472536379819,0.609881451520922,177.336
"Maize","South Africa","Africa","Others",2030,11.97,1.72472536379819,0.304940725760461,88.668
"Maize","South Africa","Africa","Others",2030,11.98,1.72472536379819,0.609881451520922,177.336
"Maize","South Africa","Africa","Others",2030,10.09,1.88879555745135,0.609881451520922,177.336
"Maize","South Africa","Africa","Others",2030,12.21,1.72472536379819,0.304940725760461,88.668
"Maize","South Africa","Africa","Others",2030,10.32,1.88879555745135,0.304940725760461,88.668
"Maize","South Africa","Africa","Others",2030,12.22,1.72472536379819,0.609881451520922,177.336
"Maize","South Africa","Africa","Others",2030,10.32,1.88879555745135,0.609881451520922,177.336
"Maize","United States","North America","Others",2035,1.42,1.2015129896448,0.0792743750521978,44
"Maize","United States","North America","Others",2035,0.8,1.37071674100504,0.0810226171252155,71
"Maize","United States","North America","Others",2035,4.2,1.31459643630648,0.01194401164425,13
"Maize","United States","North America","Others",2035,5.7,1.2645124682187,0.00661320176525375,4
"Maize","United States","North America","Others",2035,5.94,1.2252773083738,0.0764185227325639,71
"Maize","United States","North America","Others",2035,6.98,1.20870778157563,0.0787312800635393,87
"Maize","United States","North America","Others",2035,6.74,1.23798826724267,-0.0298835658512201,-46
"Maize","United States","North America","Others",2035,5.24,1.35105248634482,0.085082160854733,126
"Maize","United States","North America","Others",2035,6.7,1.26232017900993,0.0475663899619518,64
"Maize","United States","North America","Others",2035,6.13,1.29809867723993,-0.0168841841640362,-21
"Maize","United States","North America","Others",2095,2.15,2.31561710504693,0.295477216103646,164
"Maize","United States","North America","Others",2095,1.18,3.20602617163562,0.136939634577829,120
"Maize","United States","North America","Others",2095,4.51,2.58552755503323,0.0725828399919809,79
"Maize","United States","North America","Others",2095,5.23,2.69316109374895,0.145490438835582,88
"Maize","United States","North America","Others",2095,6.69,2.53037573589473,0.235713471527204,219
"Maize","United States","North America","Others",2095,7.09,2.49038363119092,0.22985913949585,254
"Maize","United States","North America","Others",2095,6.32,2.35179889978994,-0.0298835658512201,-46
"Maize","United States","North America","Others",2095,5.35,2.61433297036729,0.194473510525104,288
"Maize","United States","North America","Others",2095,6.95,2.4438419938162,0.204386831867761,275
"Maize","United States","North America","Others",2095,5.76,2.4722313920356,0.123817350536265,154
"Maize","United States","North America","Others",2035,6.01,1.2015129896448,0.0792743750521978,44
"Maize","United States","North America","Others",2035,6,1.37071674100504,0.0810226171252155,71
"Maize","United States","North America","Others",2035,7.02,1.31459643630648,0.01194401164425,13
"Maize","United States","North America","Others",2035,8.41,1.2645124682187,0.00661320176525375,4
"Maize","United States","North America","Others",2035,6.24,1.2252773083738,0.0764185227325639,71
"Maize","United States","North America","Others",2035,7.2,1.20870778157563,0.0787312800635393,87
"Maize","United States","North America","Others",2035,7.28,1.23798826724267,-0.0298835658512201,-46
"Maize","United States","North America","Others",2035,5.44,1.35105248634482,0.085082160854733,126
"Maize","United States","North America","Others",2035,7.17,1.26232017900993,0.0475663899619518,64
"Maize","United States","North America","Others",2035,6.48,1.29809867723993,-0.0168841841640362,-21
"Maize","United States","North America","Others",2095,7.02,2.31561710504693,0.295477216103646,164
"Maize","United States","North America","Others",2095,6.17,3.20602617163562,0.136939634577829,120
"Maize","United States","North America","Others",2095,6.72,2.58552755503323,0.0725828399919809,79
"Maize","United States","North America","Others",2095,7.27,2.69316109374895,0.145490438835582,88
"Maize","United States","North America","Others",2095,6.89,2.53037573589473,0.235713471527204,219
"Maize","United States","North America","Others",2095,7.17,2.49038363119092,0.22985913949585,254
"Maize","United States","North America","Others",2095,6.38,2.35179889978994,-0.0298835658512201,-46
"Maize","United States","North America","Others",2095,5.5,2.61433297036729,0.194473510525104,288
"Maize","United States","North America","Others",2095,7.11,2.4438419938162,0.204386831867761,275
"Maize","United States","North America","Others",2095,6.06,2.4722313920356,0.123817350536265,154
"Maize","United States","North America","Others",2025,6.31111111111111,1,0.00964912067518258,9
"Maize","United States","North America","Others",2025,7.43333333333333,1,0.0054148842715474,6.66666666666667
"Maize","United States","North America","Others",2025,7.88333333333333,1,0.00160575444328392,2.33333333333333
"Maize","United States","North America","Others",2025,5.53333333333333,1,0.00553428673381653,7
"Maize","Romania","Europe","Others",2080,7.9425,3.55415521707819,0.03,23.711169987
"Maize","Romania","Europe","Others",2080,9.145,3.5619739813639,-0.035,-21.812040999
"Maize","Brazil","Central and South America","Others",2050,5.73333333333333,2.68172675674337,0.0356844140900138,57.96
"Maize","Brazil","Central and South America","Others",2050,7.2,2.74846497907733,0.0650982534138609,135.24
"Maize","Brazil","Central and South America","Others",2050,7.66333333333333,2.7431406631353,0.064069602232243,111.32
"Maize","Brazil","Central and South America","Others",2050,5.67666666666667,2.75412434061579,0.263381882277264,475
"Maize","Brazil","Central and South America","Others",2050,6.13333333333333,2.72628059110914,0.0752515174636329,115.68
"Maize","Brazil","Central and South America","Others",2050,6.28666666666667,2.33234201389672,0.221081736212438,343.2
"Maize","Brazil","Central and South America","Others",2050,6.41,2.31595243026376,0.21853273344568,312.57
"Maize","Brazil","Central and South America","Others",2050,5.45333333333333,2.76158178217413,0.182417073128835,277.34
