"crop","climate_scenario","region","n_countries","n_observations","mean_impact","median_impact","sd_impact","mean_temp_change","pct_negative","mean_yield"
"Soybean","RCP4.5","Central and South America",3,32,-14.90235,-26.6773,37.4657033144939,1.14458333333333,56.25,2.50705384615385
"Maize","B1","North America",2,4,-14.7683776269865,-16.2601502158912,16.6115838857711,1.99,75,3.076932713375
"Wheat","B1","Central and South America",3,6,-14.2625656920646,-12.887764879027,4.58852749201378,1.25,100,1.52601905663333
"Wheat","RCP6.0","Global",1,1,-14,-14,NA,NA,100,NA
"Maize","B1","Asia",9,27,-13.9824538147222,-12.2323208697801,10.2611023714019,1.39809523809524,96.2962962962963,3.42219594821667
"Maize","Others","Africa",6,47,-13.8890881521675,-7.9727284880148,26.0896734608723,2.52886178861789,72.3404255319149,8.75564038888889
"Wheat","A1b","Asia",6,6,-13.7473321579918,-12.9856891161867,7.81164899450458,2.61833333333333,100,1.44080559660833
"Maize","SRES(mean of 6 scenarios)","Asia",1,27,-12.8851851851852,-14.6,19.7479444636983,1.53333333333333,81.4814814814815,5.46074074074074
"Maize","A1FI, A2,B1,B2","Asia",1,24,-12.7083333333333,-10,10.7218961928856,2,95.8333333333333,NA
"Maize","A1B","Asia",2,9,-12.6444429944444,-10.8999675,11.7350795653376,1.83333333333333,100,7.88355555555556
"Wheat","B1","North America",2,4,-12.5236801484024,-13.2016052225985,9.39262780780061,1.99,100,2.140428408975
"Wheat","B1","Australasia",1,2,-12.4457310291139,-12.4457310291139,7.35380764226512,1.435,100,0.76254470645
"Maize","RCP8.5","North America",2,88,-12.3239136363636,-11.47905,20.1564054162359,2.97148148148148,70.4545454545455,7.24368637355556
"Soybean","RCP8.5","Global",1,1,-11.6,-11.6,NA,NA,100,NA
"Maize","A1FI","Africa",3,14,-11.4307120714286,-12.196685,11.2420917585593,2.2,85.7142857142857,NA
"Rice","RCP8.5","Global",1,1,-10.8,-10.8,NA,NA,100,NA
"Soybean","RCP4.5","North America",2,16,-10.48042625,-8.68939,15.4302199027311,2.77883333333333,75,2.53109816736083
"Maize","C","Asia",1,2,-10.375002,-10.375002,2.93445637237155,NA,100,NA
"Maize","C","North America",1,2,-10.375002,-10.375002,2.93445637237155,NA,100,NA
"Wheat","RCP8.5","Australasia",1,41,-10.3377009756098,-11.2784,25.0757924154632,2.67647058823529,73.1707317073171,2.58783846153846
"Maize","RCP2.6","Asia",10,372,-10.2345151233846,-6.065565,25.925741956827,0.963830845771144,70.6989247311828,2.786181352657
"Maize","B2","North America",2,9,-10.0639683928571,-4,17.8023478915947,2.67777777777778,77.7777777777778,NA
"Wheat","A1b","Europe",17,17,-9.7490191148766,-6.41733699863622,14.1972783275592,2.21735294117647,70.5882352941177,1.90042325240588
"Maize","RCP4.5","Global",1,2,-9.6,-9.6,6.50538238691624,NA,100,NA
"Rice","Others","Africa",1,6,-9.58333703703703,-5.99999944444444,9.34032963571094,3.30666666666667,100,NA
"Soybean","Others","Asia",2,12,-9.58333333333333,-5,38.1062112172456,NA,66.6666666666667,NA
"Wheat","B1","Europe",17,34,-9.58124408649091,-11.1949012328596,12.0144795538997,1.53323529411765,73.5294117647059,1.98079165378971
"Wheat","RCP8.5","Asia",12,292,-9.33027235992415,-7.0397,27.2334816204312,3.05541152263374,62.3287671232877,2.80952960085305
"Soybean","RCP2.6","North America",1,11,-9.19267363636364,-12.9108,11.9985987869245,1.38966666666667,72.7272727272727,2.83246666666667
"Wheat","RCP2.6","Europe",16,96,-9.11336760416667,-11.4123,16.1452797175681,1.2185,78.125,6.04375
"Maize","RCP2.6","Global",1,1,-8.6,-8.6,NA,NA,100,NA
"Rice","A2b","Africa",3,9,-8.04982738636364,-7.82925,4.71180560099166,NA,100,NA
