"region","countries","mean_impact","worst_country","worst_impact","avg_warming"
"Central and South America",5,-33.7762772996633,"Paraguay",-84.07585,4.5460531986532
"North America",2,-27.1672974727348,"United States",-63.96495,4.54982014652015
"Africa",13,-22.5595545334542,"South Africa",-86.45925,4.62320021151688
"Asia",25,-17.6796340844815,"Thailand",-62.5599454545455,4.53732502998869
"Global",1,-16.6625,"Global",-22.4,4.985
"Australasia",1,-13.9398608695652,"Australia",-13.9398608695652,4.00721739130435
"Europe",18,-4.03757947609428,"Greece",-29.4478588888889,4.60169548821549
